codigo,descricao,risco_base
0111-3/01,Cultivo de arroz,NA
0111-3/02,Cultivo de milho,NA
0111-3/03,Cultivo de trigo,NA
0111-3/99,Cultivo de outros cereais não especificados anteriormente,NA
0112-1/01,Cultivo de algodão herbáceo,NA
0112-1/02,Cultivo de juta,NA
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,NA
0113-0/00,Cultivo de cana-de-açúcar,NA
0114-8/00,Cultivo de fumo,NA
0115-6/00,Cultivo de soja,NA
0116-4/01,Cultivo de amendoim,NA
0116-4/02,Cultivo de girassol,NA
0116-4/03,Cultivo de mamona,NA
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,NA
0119-9/01,Cultivo de abacaxi,NA
0119-9/02,Cultivo de alho,NA
0119-9/03,Cultivo de batata-inglesa,NA
0119-9/04,Cultivo de cebola,NA
0119-9/05,Cultivo de feijão,NA
0119-9/06,Cultivo de mandioca,NA
0119-9/07,Cultivo de melão,NA
0119-9/08,Cultivo de melancia,NA
0119-9/09,Cultivo de tomate rasteiro,NA
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,NA
0121-1/01,Horticultura exceto morango,NA
0121-1/02,Cultivo de morango,NA
0122-9/00,Cultivo de flores e plantas ornamentais,NA
0131-8/00,Cultivo de laranja,NA
0132-6/00,Cultivo de uva,NA
0133-4/01,Cultivo de açaí,NA
0133-4/02,Cultivo de banana,NA
0133-4/03,Cultivo de caju,NA
0133-4/04,Cultivo de cítricos exceto laranja,NA
0133-4/05,Cultivo de coco-da-baía,NA
0133-4/06,Cultivo de guaraná,NA
0133-4/07,Cultivo de maçã,NA
0133-4/08,Cultivo de mamão,NA
0133-4/09,Cultivo de maracujá,NA
0133-4/10,Cultivo de manga,NA
0133-4/11,Cultivo de pêssego,NA
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,NA
0134-2/00,Cultivo de café,NA
0135-1/00,Cultivo de cacau,NA
0139-3/01,Cultivo de chá-da-índia,NA
0139-3/02,Cultivo de erva-mate,NA
0139-3/03,Cultivo de pimenta-do-reino,NA
0139-3/04,Cultivo de plantas para condimento exceto pimenta-do-reino,NA
0139-3/05,Cultivo de dendê,NA
0139-3/06,Cultivo de seringueira,NA
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,NA
0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",NA
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,NA
0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",NA
0151-2/01,Criação de bovinos para corte,NA
0151-2/02,Criação de bovinos para leite,NA
0151-2/03,"Criação de bovinos, exceto para corte e leite",NA
0152-1/01,Criação de bufalinos,NA
0152-1/02,Criação de equinos,NA
0152-1/03,Criação de asininos e muares,NA
0153-9/01,Criação de caprinos,NA
0153-9/02,"Criação de ovinos, inclusive para produção de lã",NA
0154-7/00,Criação de suínos,NA
0155-5/01,Criação de frangos para corte,NA
0155-5/02,Produção de pintos de um dia,NA
0155-5/03,"Criação de outros galináceos, exceto para corte",NA
0155-5/04,"Criação de aves, exceto galináceos",NA
0155-5/05,Produção de ovos,NA
0159-8/01,Apicultura,NA
0159-8/02,Criação de animais de estimação,NA
0159-8/03,Criação de escargô,NA
0159-8/04,Criação de bicho-da-seda,NA
0159-8/99,Criação de outros animais não especificados anteriormente,NA
0161-0/01,Serviço de pulverização e controle de pragas agrícolas,NA
0161-0/02,Serviço de poda de árvores para lavouras,NA
0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",NA
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,NA
0162-8/01,Serviço de inseminação artificial em animais,NA
0162-8/02,Serviço de tosquiamento de ovinos,NA
0162-8/03,Serviço de manejo de animais,NA
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,NA
0163-6/00,Atividades de pós-colheita,NA
0170-9/00,Caça e serviços relacionados,NA
0210-1/01,Cultivo de eucalipto,NA
0210-1/02,Cultivo de acácia-negra,NA
0210-1/03,Cultivo de pinus,NA
0210-1/04,Cultivo de teca,NA
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",NA
0210-1/06,Cultivo de mudas em viveiros florestais,NA
0210-1/07,Extração de madeira em florestas plantadas,NA
0210-1/08,Produção de carvão vegetal - florestas plantadas,NA
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,NA
