CÓDIGO CNAE;NÍVEL AGREGAÇÃO;DESCRIÇÃO CNAE;CÓDIGO DN COPAM;DESCRIÇÃO DO CÓDIGO;EXIGÊNCIA AMBIENTAL;NÍVEL DE RISCO
0159-8/02;Atividade;"Animais Domésticos; Criação De";Não Listada;-;Não se aplica;I
0159-8/02;Atividade;"Canil; Criação De Cães";Não Listada;-;Não se aplica;I
0159-8/02;Atividade;"Gatos; Criação De";Não Listada;-;Não se aplica;I
0159-8/02;Atividade;"Porquinhos Da Índia; Criação De";Não Listada;-;Não se aplica;I
0159-8/03;Subclasse;Criação de escargô;Não Listada;-;Não se aplica;I
0159-8/04;Subclasse;Criação de bicho-da-seda;Não Listada;-;Não se aplica;I
0161-0/01;Subclasse;Serviço de pulverização e controle de pragas agrícolas;Não Listada;-;Não se aplica;I
0161-0/02;Subclasse;Serviço de poda de árvores para lavouras;Não Listada;-;Não se aplica;I
0161-0/03;Subclasse;Serviço de preparação de terreno, cultivo e colheita;Não Listada;-;Não se aplica;I
0161-0/99;Subclasse;Atividades de apoio à agricultura não especificadas anteriormente;Não Listada;-;Não se aplica;I
0162-8/01;Subclasse;Serviço de inseminação artificial em animais;Não Listada;-;Não se aplica;I
0162-8/02;Subclasse;Serviço de tosquiamento de ovinos;Não Listada;-;Não se aplica;I
0162-8/03;Subclasse;Serviço de manejo de animais;Não Listada;-;Não se aplica;I
0162-8/99;Subclasse;Atividades de apoio à pecuária não especificadas anteriormente;Não Listada;-;Não se aplica;I
0210-1/09;Subclasse;Produção de casca de acácia-negra - florestas plantadas;Não Listada;-;Não se aplica;I
0210-1/99;Subclasse;Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas;Não Listada;-;Não se aplica;I
0220-9/03;Subclasse;Coleta de castanha-do-pará em florestas nativas;Não Listada;-;Não se aplica;I
0220-9/04;Subclasse;Coleta de látex em florestas nativas;Não Listada;-;Não se aplica;I
0220-9/05;Subclasse;Coleta de palmito em florestas nativas;Não Listada;-;Não se aplica;I
0220-9/06;Subclasse;Conservação de florestas nativas;Não Listada;-;Não se aplica;I
0220-9/99;Subclasse;Conservação de florestas nativas;Não Listada;-;Não se aplica;I
0311-6/01;Subclasse;Pesca de peixes em água salgada;Não Listada;-;Não se aplica;I
0311-6/02;Subclasse;Pesca de crustáceos e moluscos em água salgada;Não Listada;-;Não se aplica;I
0311-6/03;Subclasse;Coleta de outros produtos marinhos;Não Listada;-;Não se aplica;I
0311-6/04;Subclasse;Atividades de apoio à pesca em água salgada;Não Listada;-;Não se aplica;I
0321-3/05;Subclasse;Atividades de apoio à aquicultura em água salgada e salobra;Não Listada;-;Não se aplica;I
0322-1/07;Subclasse;Atividades de apoio à aquicultura em água salgada e salobra;Não Listada;-;Não se aplica;I
0725-1/00;Subclasse;Extração de minerais radioativos;Não Listada;-;Não se aplica;I
0892-4/01;Subclasse;Extração de sal marinho;Não Listada;-;Não se aplica;I
1061-9/02;Subclasse;Fabricação de produtos do arroz;Não Listada;-;Não se aplica;I
1091-1/02;Subclasse;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Achocolatados Em Pó; Produção De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Bombons; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Cacau Em Pó; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Chocolate Em Barras Ou Tabletes; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Chocolate Em Pó; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Chocolate Granulado; Produção De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Farinhas A Base De Chocolate; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Pasta De Cacau (Massa); Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Produtos Derivados Do Beneficiamento Do Cacau; Fabricação De";Não Listada;-;Não se aplica;I
1093-7/01;Atividade;"Torta De Cacau; Fabricação De";Não Listada;-;Não se aplica;I
1311-1/00;Atividade;Resíduos Do Beneficiamento Da Fibra De Algodão;Não Listada;-;Não se aplica;I
1351-1/00;Subclasse;Fabricação de artefatos têxteis para uso doméstico;Não Listada;-;Não se aplica;I
1352-9/00;Subclasse;Fabricação de artefatos de tapeçaria;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de artefatos de cordoaria;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de barbantes;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de cabos navais de fibras têxteis naturais;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de cordas, cabos e cordeis de fibras sintéticas;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de cordas, cabos e cordéis;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Cordoaria;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de redes de dormir;Não Listada;-;Não se aplica;I
1353-7/00;Atividade;Fabricação de redes de proteção (para varandas, janelas, etc), de qualquer material;Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Apoio De Cabeça, Compressas, Sachês, Para Uso Terapêutico, Predominante De Material Têxtil; Fabricação";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Artefatos Têxteis Não Especificados Anteriormente (Exceto Vestuário); Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Artesanato Em Material Têxtil; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Bandeiras, Estandartes E Flâmulas De Tecidos; Confecção De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Big Bags (Contentores, Conteineres, Containeres) Flexíveis, De Matérias Têxteis, Para Embalagem; Produção De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Bordado Inglês; Confecção De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Bordados Químicos Ou Aéreos Em Pecas, Tiras Ou Em Motivos; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Cadarços, Galões, Emblemas, Vieses E Outros Artefatos De Passamanaria; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Colchonetes; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Contentores (Conteineres, Containeres) Flexíveis (Big Bags), De Matérias Têxteis, Para Embalagem; Produção De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Embalagem Flexíveis De Matérias Têxteis (Big Bags, Contentores, Conteineres, Containeres) ; Produção De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Etiquetas De Tecidos; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Fitas De Tecidos; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Fitas Elásticas; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Luvas, Pantufas, Almofadas, Para Uso Terapêutico, Predominante De Material Têxtil; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Rendas E Bordados Manuais; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Roupas, Laços Ou Outros Enfeites Para Animais; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Sacos De Algodao Para Embalagem; Confecção De (Quando Não Integrada A Tecelagem)";Não Listada;-;Não se aplica;I
